Source,CH2
Second,Volt
-0.00122880000,-0.40000,
-0.00122860000,-0.40000,
-0.00122840000,-0.40000,
-0.00122820000,-0.40000,
-0.00122800000,-0.40000,
-0.00122780000,-0.40000,
-0.00122760000,-0.40000,
-0.00122740000,-0.40000,
-0.00122720000,-0.40000,
-0.00122700000,-0.40000,
-0.00122680000,-0.40000,
-0.00122660000,-0.40000,
-0.00122640000,-0.40000,
-0.00122620000,-0.40000,
-0.00122600000,-0.40000,
-0.00122580000,-0.40000,
-0.00122560000,-0.40000,
-0.00122540000,-0.40000,
-0.00122520000,-0.40000,
-0.00122500000,-0.40000,
-0.00122480000,-0.40000,
-0.00122460000,-0.40000,
-0.00122440000,-0.40000,
-0.00122420000,-0.40000,
-0.00122400000,-0.40000,
-0.00122380000,-0.40000,
-0.00122360000,-0.40000,
-0.00122340000,-0.40000,
-0.00122320000,-0.40000,
-0.00122300000,-0.40000,
-0.00122280000,-0.40000,
-0.00122260000,-0.40000,
-0.00122240000,-0.40000,
-0.00122220000,-0.40000,
-0.00122200000,-0.40000,
-0.00122180000,-0.40000,
-0.00122160000,-0.40000,
-0.00122140000,-0.40000,
-0.00122120000,-0.40000,
-0.00122100000,-0.40000,
-0.00122080000,-0.40000,
-0.00122060000,-0.40000,
-0.00122040000,-0.40000,
-0.00122020000,-0.40000,
-0.00122000000,-0.40000,
-0.00121980000,-0.40000,
-0.00121960000,-0.40000,
-0.00121940000,-0.40000,
-0.00121920000,-0.40000,
-0.00121900000,-0.40000,
-0.00121880000,-0.40000,
-0.00121860000,-0.40000,
-0.00121840000,-0.40000,
-0.00121820000,-0.40000,
-0.00121800000,-0.40000,
-0.00121780000,-0.40000,
-0.00121760000,-0.40000,
-0.00121740000,-0.40000,
-0.00121720013,-0.40000,
-0.00121700013,-0.40000,
-0.00121680013,-0.40000,
-0.00121660013,-0.40000,
-0.00121640013,-0.40000,
-0.00121620013,-0.40000,
-0.00121600000,-0.40000,
-0.00121580000,-0.40000,
-0.00121560000,-0.40000,
-0.00121540000,-0.40000,
-0.00121520000,-0.40000,
-0.00121500000,-0.40000,
-0.00121480000,-0.40000,
-0.00121460000,-0.40000,
-0.00121440000,-0.40000,
-0.00121420000,-0.40000,
-0.00121400000,-0.40000,
-0.00121380000,-0.40000,
-0.00121360000,-0.40000,
-0.00121340000,-0.40000,
-0.00121320000,-0.40000,
-0.00121300000,-0.40000,
-0.00121280000,-0.40000,
-0.00121260000,-0.40000,
-0.00121240000,-0.40000,
-0.00121220000,-0.40000,
-0.00121200000,-0.40000,
-0.00121180000,-0.40000,
-0.00121160000,-0.40000,
-0.00121140000,-0.40000,
-0.00121120000,-0.40000,
-0.00121100000,-0.40000,
-0.00121080000,0.00,
-0.00121060000,-0.40000,
-0.00121040000,-0.40000,
-0.00121020000,-0.40000,
-0.00121000000,-0.40000,
-0.00120980000,-0.40000,
-0.00120960000,-0.40000,
-0.00120940000,-0.40000,
-0.00120920000,-0.40000,
-0.00120900000,-0.40000,
-0.00120880000,-0.40000,
-0.00120860000,-0.40000,
-0.00120840000,-0.80000,
-0.00120820000,-0.40000,
-0.00120800000,-0.40000,
-0.00120780000,-0.40000,
-0.00120760000,-0.40000,
-0.00120740000,-0.40000,
-0.00120720000,-0.40000,
-0.00120700000,-0.40000,
-0.00120680000,-0.40000,
-0.00120660000,-0.40000,
-0.00120640000,-0.40000,
-0.00120620000,-0.40000,
-0.00120600000,-0.40000,
-0.00120580000,-0.40000,
-0.00120560000,-0.40000,
-0.00120540000,-0.40000,
-0.00120520000,-0.40000,
-0.00120500000,-0.40000,
-0.00120480000,-0.40000,
-0.00120460000,-0.40000,
-0.00120440000,-0.40000,
-0.00120420000,-0.40000,
-0.00120400000,-0.40000,
-0.00120380000,-0.40000,
-0.00120360000,-0.40000,
-0.00120340000,-0.40000,
-0.00120320000,-0.40000,
-0.00120300000,-0.40000,
-0.00120280000,-0.40000,
-0.00120260000,-0.40000,
-0.00120240000,-0.40000,
-0.00120220000,-0.40000,
-0.00120200013,-0.40000,
-0.00120180013,-0.40000,
-0.00120160013,-0.40000,
-0.00120140013,-0.40000,
-0.00120120013,-0.40000,
-0.00120100013,-0.40000,
-0.00120080013,-0.40000,
-0.00120060000,-0.40000,
-0.00120040000,-0.40000,
-0.00120020000,-0.40000,
-0.00120000000,-0.40000,
-0.00119980000,-0.40000,
-0.00119960000,-0.40000,
-0.00119940000,-0.40000,
-0.00119920000,-0.40000,
-0.00119900000,-0.40000,
-0.00119880000,-0.40000,
-0.00119860000,-0.40000,
-0.00119840000,-0.40000,
-0.00119820000,-0.40000,
-0.00119800000,-0.40000,
-0.00119780000,-0.40000,
-0.00119760000,-0.40000,
-0.00119740000,-0.40000,
-0.00119720000,-0.40000,
-0.00119700000,-0.40000,
-0.00119680000,-0.40000,
-0.00119660000,-0.40000,
-0.00119640000,-0.40000,
-0.00119620000,-0.40000,
-0.00119600000,-0.40000,
-0.00119580000,-0.40000,
-0.00119560000,-0.40000,
-0.00119540000,-0.40000,
-0.00119520000,-0.40000,
-0.00119500000,-0.40000,
-0.00119480000,0.00,
-0.00119460000,-0.40000,
-0.00119440000,-0.40000,
-0.00119420000,-0.40000,
-0.00119400000,-0.40000,
-0.00119380000,-0.40000,
-0.00119360000,0.00,
-0.00119340000,-0.40000,
-0.00119320000,-0.40000,
-0.00119300000,-0.40000,
-0.00119280000,-0.40000,
-0.00119260000,-0.40000,
-0.00119240000,-0.40000,
-0.00119220000,-0.40000,
-0.00119200000,-0.40000,
-0.00119180000,-0.40000,
-0.00119160000,-0.40000,
-0.00119140000,-0.40000,
-0.00119120000,-0.40000,
-0.00119100000,0.00,
-0.00119080000,0.00,
-0.00119060000,-0.40000,
-0.00119040000,-0.40000,
-0.00119020000,-0.40000,
-0.00119000000,-0.40000,
-0.00118980000,0.00,
-0.00118960000,-0.40000,
-0.00118940000,-0.40000,
-0.00118920000,-0.40000,
-0.00118900000,-0.40000,
-0.00118880000,-0.40000,
-0.00118860000,-0.40000,
-0.00118840000,-0.40000,
-0.00118820000,-0.40000,
-0.00118800000,-0.40000,
-0.00118780000,-0.40000,
-0.00118760000,-0.40000,
-0.00118740000,-0.40000,
-0.00118720000,-0.40000,
-0.00118700000,-0.40000,
-0.00118680000,-0.40000,
-0.00118660013,-0.40000,
-0.00118640013,-0.40000,
-0.00118620013,-0.40000,
-0.00118600013,-0.40000,
-0.00118580013,-0.40000,
-0.00118560013,-0.40000,
-0.00118540000,-0.40000,
-0.00118520000,-0.40000,
-0.00118500000,-0.40000,
-0.00118480000,-0.40000,
-0.00118460000,-0.40000,
-0.00118440000,-0.40000,
-0.00118420000,0.00,
-0.00118400000,-0.40000,
-0.00118380000,-0.40000,
-0.00118360000,-0.40000,
-0.00118340000,-0.40000,
-0.00118320000,-0.40000,
-0.00118300000,0.00,
-0.00118280000,-0.40000,
-0.00118260000,-0.40000,
-0.00118240000,-0.40000,
-0.00118220000,-0.40000,
-0.00118200000,-0.40000,
-0.00118180000,-0.40000,
-0.00118160000,-0.40000,
-0.00118140000,-0.40000,
-0.00118120000,-0.40000,
-0.00118100000,0.00,
-0.00118080000,-0.40000,
-0.00118060000,0.00,
-0.00118040000,-0.40000,
-0.00118020000,-0.40000,
-0.00118000000,-0.40000,
-0.00117980000,-0.40000,
-0.00117960000,-0.40000,
-0.00117940000,0.00,
-0.00117920000,-0.40000,
-0.00117900000,0.00,
-0.00117880000,-0.40000,
-0.00117860000,-0.40000,
-0.00117840000,-0.40000,
-0.00117820000,-0.40000,
-0.00117800000,-0.40000,
-0.00117780000,-0.40000,
-0.00117760000,-0.40000,
-0.00117740000,-0.40000,
-0.00117720000,0.00,
-0.00117700000,-0.40000,
-0.00117680000,-0.40000,
-0.00117660000,-0.40000,
-0.00117640000,0.00,
-0.00117620000,-0.40000,
-0.00117600000,-0.40000,
-0.00117580000,0.00,
-0.00117560000,-0.40000,
-0.00117540000,-0.40000,
-0.00117520000,-0.40000,
-0.00117500000,-0.40000,
-0.00117480000,-0.40000,
-0.00117460000,-0.40000,
-0.00117440000,-0.40000,
-0.00117420000,-0.40000,
-0.00117400000,-0.40000,
-0.00117380000,-0.40000,
-0.00117360000,-0.40000,
-0.00117340000,-0.40000,
-0.00117320000,-0.40000,
-0.00117300000,-0.40000,
-0.00117280000,-0.40000,
-0.00117260000,-0.40000,
-0.00117240000,-0.40000,
-0.00117220000,-0.40000,
-0.00117200000,-0.40000,
-0.00117180000,-0.40000,
-0.00117160000,-0.40000,
-0.00117140000,0.00,
-0.00117120013,-0.40000,
-0.00117100013,-0.40000,
-0.00117080013,0.00,
-0.00117060013,-0.40000,
-0.00117040013,-0.40000,
-0.00117020013,-0.40000,
-0.00117000000,-0.40000,
-0.00116980000,-0.40000,
-0.00116960000,-0.40000,
-0.00116940000,-0.40000,
-0.00116920000,-0.40000,
-0.00116900000,-0.40000,
-0.00116880000,-0.40000,
-0.00116860000,-0.40000,
-0.00116840000,-0.40000,
-0.00116820000,-0.40000,
-0.00116800000,-0.40000,
-0.00116780000,-0.40000,
-0.00116760000,-0.40000,
-0.00116740000,-0.40000,
-0.00116720000,-0.40000,
-0.00116700000,-0.40000,
-0.00116680000,0.00,
-0.00116660000,0.00,
-0.00116640000,-0.40000,
-0.00116620000,-0.40000,
-0.00116600000,-0.40000,
-0.00116580000,-0.40000,
-0.00116560000,-0.40000,
-0.00116540000,-0.40000,
-0.00116520000,-0.40000,
-0.00116500000,-0.40000,
-0.00116480000,-0.40000,
-0.00116460000,-0.40000,
-0.00116440000,-0.40000,
-0.00116420000,-0.40000,
-0.00116400000,-0.40000,
-0.00116380000,-0.40000,
-0.00116360000,-0.40000,
-0.00116340000,-0.40000,
-0.00116320000,-0.40000,
-0.00116300000,-0.40000,
-0.00116280000,-0.40000,
-0.00116260000,0.00,
-0.00116240000,-0.40000,
-0.00116220000,-0.40000,
-0.00116200000,-0.40000,
-0.00116180000,-0.40000,
-0.00116160000,-0.40000,
-0.00116140000,-0.40000,
-0.00116120000,-0.40000,
-0.00116100000,0.00,
-0.00116080000,0.00,
-0.00116060000,0.00,
-0.00116040000,-0.40000,
-0.00116020000,-0.40000,
-0.00116000000,-0.40000,
-0.00115980000,-0.40000,
-0.00115960000,0.00,
-0.00115940000,-0.40000,
-0.00115920000,-0.40000,
-0.00115900000,-0.40000,
-0.00115880000,-0.40000,
-0.00115860000,-0.40000,
